ID;E;H
396;=PA0+30-X101;=CT+HPDLMC-IF6.X10
397;=PA0+30-X102;=PA0+RF01-X35
398;=PA0+30-X103;=PA0+RF01-X36
399;=PA0+30-X70;=CT+TRUC-IF1.X6
400;=PA0+30-X71;=PA1+30-X70
401;=PA0+30-X80;=CT+TRUC-IF1.X4
402;=PA0+30-X81;=PA1+30-X80
403;=PA0+60-X1;=CT+HPDLMC-IF7.X2
404;=PA0+60-X55;=SLRC-D2
405;=PA1+1-X600;=TSBR+CH.E-X601
406;=PA1+1-XPE1;=PE+CH.B-X2
407;=PA1+1-XPE2;=PA1+RF11-X11
408;=PA1+10-X1;=PA1+RF11-X1
409;=PA1+10-X2;=PA1+RF11-X2
410;=PA1+10-X3;=PA1+RF11-X3
411;=PA1+10-X4;=PA1+RF11-X4
412;=PA1+19-X1;=PA1+5-X1
413;=PA1+19-X19.1;=PA1+19-X19.2
414;=PA1+19-X5;=EP+CH.A-X1
415;=PA1+22-X1;=PA0+22-X2
416;=PA1+22-X2;=SY.EMO+HPDLMC-IF3.X2
417;=PA1+22-X2;=PA2+22-X1
418;=PA1+23-LT1;=PA1+23-X4
419;=PA1+23-X4;=PA1+23-LT1
420;=PA1+30-X10;=PA1+RF11-X31
421;=PA1+30-X101;=CT+HPDLMC-IF6.X11
422;=PA1+30-X103;=PA1+RF11-X35
423;=PA1+30-X103;=PA1+RF11-X36
424;=PA1+30-X70;=PA0+30-X71
425;=PA1+30-X71;=PA2+30-X70
426;=PA1+30-X80;=PA0+30-X81
427;=PA1+30-X81;=PA2+30-X80
428;=PA1+60-X1;=CT+HPDLMC-IF7.X3
429;=PA1+60-X55;=SLRC-D3
430;=PA2+1-X600;=TSBR+CH.E-X602
431;=PA2+1-XPE1;=PE+CH.I-X2
432;=PA2+1-XPE2;=PA2+RF21-X11
433;=PA2+1-XPE3;=PA2+RF22-X11
434;=PA2+10-X1;=PA2+RF21-X1
435;=PA2+10-X2;=PA2+RF21-X2
436;=PA2+10-X3;=PA2+RF21-X3
437;=PA2+10-X4;=PA2+RF21-X4
438;=PA2+11-X1;=PA2+RF22-X1
439;=PA2+11-X2;=PA2+RF22-X2
440;=PA2+11-X3;=PA2+RF22-X3
441;=PA2+11-X4;=PA2+RF22-X4
442;=PA2+19-X1;=PA2+5-X1
443;=PA2+19-X19.1;=PA2+19-X19.2
444;=PA2+19-X5;=EP+CH.K-X1
445;=PA2+22-X1;=PA1+22-X2
446;=PA2+22-X2;=PA3+22-X1
447;=PA2+22-X3;=SY.EMO+HPDLMC-IF3.X3
448;=PA2+23-LT1;=PA2+23-X4
449;=PA2+23-X4;=PA2+23-LT1
450;=PA2+30-X10;=PA2+RF21-X31
451;=PA2+30-X103;=CT+HPDLMC-IF6.X12
452;=PA2+30-X104;=PA0+RF01-X35
453;=PA2+30-X105;=PA2+RF22-X35
454;=PA2+30-X106;=PA0+RF01-X35
455;=PA2+30-X70;=PA1+30-X71
456;=PA2+30-X71;=PA3+30-X70
457;=PA2+30-X80;=PA1+30-X81
458;=PA2+30-X81;=PA3+30-X80
459;=PA2+60-X1;=CT+HPDLMC-IF7.X4
460;=PA2+60-X55;=SLRC-E1
461;=PA3+1-X600;=PA3+1-X600
462;=PA3+1-XPE1;=PA3+1-XPE1
463;=PA3+1-XPE2;=PA3+1-XPE2
464;=PA3+1-XPE3;=PA3+1-XPE3
465;=PA3+10-X1;=PA3+10-X1
466;=PA3+10-X2;=PA3+10-X2
467;=PA3+10-X3;=PA3+10-X3
468;=PA3+10-X4;=PA3+10-X4
469;=PA3+11-X1;=PA3+11-X1
470;=PA3+11-X2;=PA3+11-X2
471;=PA3+11-X3;=PA3+11-X3
472;=PA3+11-X4;=PA3+11-X4
473;=PA3+19-X1;=PA3+19-X1
474;=PA3+19-X19.1;=PA3+19-X19.1
475;=PA3+19-X5;=PA3+19-X5
476;=PA3+22-X1;=PA3+22-X1
477;=PA3+22-X2;=PA3+22-X2
478;=PA3+22-X2;=PA3+22-X2
479;=PA3+23-LT1;=PA3+23-LT1
480;=PA3+23-X4;=PA3+23-X4
481;=PA3+30-X10;=PA3+30-X10
482;=PA3+30-X103;=PA3+30-X103
483;=PA3+30-X104;=PA3+30-X104
484;=PA3+30-X105;=PA3+30-X105
485;=PA3+30-X106;=PA3+30-X106
486;=PA3+30-X70;=PA3+30-X70
487;=PA3+30-X71;=PA3+30-X71
488;=PA3+30-X80;=PA3+30-X80
489;=PA3+60-X1;=PA3+60-X1
490;=PA3+60-X55;=PA3+60-X55
491;=PA0+RF01-X1;=PA0+10-X1
492;=PA0+RF01-X101;=CH01+CH.F-X01
493;=PA0+RF01-X102;=CH01+CH.F-X02
494;=PA0+RF01-X103;=CH01+CH.F-X03
495;=PA0+RF01-X104;=CH01+CH.F-X04
496;=PA0+RF01-X105;=CH01+CH.F-X05
497;=PA0+RF01-X106;=CH01+CH.F-X06
498;=PA0+RF01-X107;=CH01+CH.F-X07
499;=PA0+RF01-X108;=CH01+CH.F-X08
500;=PA0+RF01-X109;=CH01+CH.F-X09
501;=PA0+RF01-X11;=PA0+1-XPE2
502;=PA0+RF01-X110;=CH01+CH.F-X10
503;=PA0+RF01-X111;=CH01+CH.F-X11
504;=PA0+RF01-X112;=CH01+CH.F-X12
505;=PA0+RF01-X113;=CH01+CH.F-X13
506;=PA0+RF01-X114;=CH01+CH.F-X14
507;=PA0+RF01-X115;=CH01+CH.F-X15
508;=PA0+RF01-X116;=CH01+CH.F-X16
509;=PA0+RF01-X2;=PA0+10-X2
510;=PA0+RF01-X3;=PA0+10-X3
511;=PA0+RF01-X31;=PA0+30-X10
512;=PA0+RF01-X35;=PA0+30-X102
513;=PA0+RF01-X36;=PA0+30-X103
514;=PA0+RF01-X4;=PA0+10-X4
515;=PA1+RF11-X1;=PA1+10-X1
516;=PA1+RF11-X101;=CH11+CH.C-X01
517;=PA1+RF11-X102;=CH11+CH.C-X02
518;=PA1+RF11-X103;=CH11+CH.C-X03
519;=PA1+RF11-X104;=CH11+CH.C-X04
520;=PA1+RF11-X105;=CH11+CH.C-X05
521;=PA1+RF11-X106;=CH11+CH.C-X06
522;=PA1+RF11-X107;=CH11+CH.C-X07
523;=PA1+RF11-X108;=CH11+CH.C-X08
524;=PA1+RF11-X109;=CH11+CH.C-X09
525;=PA1+RF11-X11;=PA1+1-XPE2
526;=PA1+RF11-X110;=CH11+CH.C-X10
527;=PA1+RF11-X111;=CH11+CH.C-X11
528;=PA1+RF11-X112;=CH11+CH.C-X12
529;=PA1+RF11-X113;=CH11+CH.C-X13
530;=PA1+RF11-X114;=CH11+CH.C-X14
531;=PA1+RF11-X115;=CH11+CH.C-X15
532;=PA1+RF11-X116;=CH11+CH.C-X16
533;=PA1+RF11-X2;=PA1+10-X2
534;=PA1+RF11-X3;=PA1+10-X3
535;=PA1+RF11-X31;=PA1+30-X10
536;=PA1+RF11-X35;=PA1+30-X103
537;=PA1+RF11-X36;=PA1+30-X103
538;=PA1+RF11-X4;=PA1+10-X4
539;+RF21-X101;+PA2-MB1
540;+RF21-X102;+PA2-MB2
541;=PA0+RF01-X35;=PA2+30-X104
542;=PA0+RF01-X35;=PA2+30-X106
543;=PA2+RF21-X1;=PA2+10-X1
544;=PA2+RF21-X11;=PA2+1-XPE2
545;=PA2+RF21-X2;=PA2+10-X2
546;=PA2+RF21-X3;=PA2+10-X3
547;=PA2+RF21-X31;=PA2+30-X10
548;=PA2+RF21-X32;=PA2+RF22-X31
549;=PA2+RF21-X37;=PA2+RF22-X36
550;=PA2+RF21-X4;=PA2+10-X4
551;+RF22-X101;+PA2-MB3
552;+RF22-X102;+PA2-MB4
553;=PA2+RF22-X1;=PA2+11-X1
554;=PA2+RF22-X11;=PA2+1-XPE3
555;=PA2+RF22-X2;=PA2+11-X2
556;=PA2+RF22-X3;=PA2+11-X3
557;=PA2+RF22-X31;=PA2+RF21-X32
558;=PA2+RF22-X35;=PA2+30-X105
559;=PA2+RF22-X36;=PA2+RF21-X37
560;=PA2+RF22-X4;=PA2+11-X4
561;+RF31-X101;+PA3-MB1
562;+RF31-X102;+PA3-MB2
563;=PA3+RF31-X1;=PA3+10-X1
564;=PA3+RF31-X11;=PA3+1-XPE2
565;=PA3+RF31-X2;=PA3+10-X2
566;=PA3+RF31-X3;=PA3+10-X3
567;=PA3+RF31-X31;=PA3+30-X10
568;=PA3+RF31-X32;=PA3+RF32-X31
569;=PA3+RF31-X35;=PA3+30-X104
570;=PA3+RF31-X36;=PA3+30-X106
571;=PA3+RF31-X37;=PA3+RF32-X36
572;=PA3+RF31-X4;=PA3+10-X4
573;+RF32-X101;+PA3-MB3
574;+RF32-X102;+PA3-MB4
575;=PA3+RF32-X1;=PA3+11-X1
576;=PA3+RF32-X11;=PA3+1-XPE3
577;=PA3+RF32-X2;=PA3+11-X2
578;=PA3+RF32-X3;=PA3+11-X3
579;=PA3+RF32-X31;=PA3+RF31-X32
580;=PA3+RF32-X35;=PA3+30-X105
581;=PA3+RF32-X36;=PA3+RF31-X37
582;=PA3+RF32-X4;=PA3+11-X4
583;=CT+CH.EP1-K1:IN0/IN1;=SY+CH.FR0-DS1
584;=CT+CH.EP1-K1:IN2/IN3;=SY+CH.FR0-DS2
585;=CT+CH.EP1-K1:IN4/IN5;=SY+CH.FR0-DS3
586;=CT+CH.EP1-K1:IN6/IN7;=SY+CH.FR0-DS4
587;=CT+CH.EP1-K10:IN0/IN1;=SY+CH.FR1-DS24
588;=CT+CH.EP1-K10:IN2/IN3;=SY+CH.FR1-DS25
589;=CT+CH.EP1-K10:IN4/IN5;=SY+CH.FR1-DS26
590;=CT+CH.EP1-K10:IN6/IN7;=SY+CH.FR1-DS27
591;=CT+CH.EP1-K11:IN0/IN1;=SY+CH.FR1-DS28
592;=CT+CH.EP1-K11:IN2/IN3;=SY+CH.FR1-DS29
593;=CT+CH.EP1-K11:IN4/IN5;=SY+CH.FR1-DS30
594;=CT+CH.EP1-K11:IN6/IN7;=SY+CH.FR1-DS31
595;=CT+CH.EP1-K12:IN0/IN1;=SY+CH.C-X1
596;=CT+CH.EP1-K13:24V/DC_IN;=EP+CH.E-X3
597;=CT+CH.EP1-K13:IN0/IN1;=IL+CH.FR0-H1
598;=CT+CH.EP1-K13:IN2/IN3;=IL+CH.FR0-H2
599;=CT+CH.EP1-K13:IN4/IN5;=IL+CH.FR0-H3
600;=CT+CH.EP1-K13:IN6/IN7;=IL+CH.FR2-H4
601;=CT+CH.EP1-K14:DATA_OUT;=CT+CH.EP3-T1:X1
602;=CT+CH.EP1-K14:IN0/IN1;=IL+CH.FR2-H5
603;=CT+CH.EP1-K14:IN2/IN3;=IL+CH.FR3-H6
604;=CT+CH.EP1-K14:IN4/IN5;=IL+CH.FR1-H7
605;=CT+CH.EP1-K14:IN6/IN7;=IL+CH.FR1-H8
606;=CT+CH.EP1-K2:IN0/IN1;=SY+CH.FR0-DS5
607;=CT+CH.EP1-K2:IN2/IN3;=SY+CH.FR0-DS6.1
608;=CT+CH.EP1-K2:IN4/IN5;=SY+CH.FR0-DS6.2
609;=CT+CH.EP1-K2:IN6/IN7;=SY+CH.FR0-DS32.1
610;=CT+CH.EP1-K3:IN0/IN1;=SY+CH.FR0-DS32.2
611;=CT+CH.EP1-K3:IN2/IN3;=SY+CH.FR0-DS33.1
612;=CT+CH.EP1-K3:IN4/IN5;=SY+CH.FR0-DS33.2
613;=CT+CH.EP1-K3:IN6/IN7;=SY+CH.FR0-DS34.1
614;=CT+CH.EP1-K4:IN0/IN1;=SY+CH.FR0-DS34.2
615;=CT+CH.EP1-K4:IN2/IN3;=SY+CH.FR0-DS35.1
616;=CT+CH.EP1-K4:IN4/IN5;=SY+CH.FR0-DS35.2
617;=CT+CH.EP1-K4:IN6/IN7;=SY+CH.F-X1
618;=CT+CH.EP1-K5:IN0/IN1;=SY+CH.FR0-DS7
619;=CT+CH.EP1-K5:IN2/IN3;=SY+CH.FR0-DS8
620;=CT+CH.EP1-K5:IN4/IN5;=SY+CH.FR0-DS9
621;=CT+CH.EP1-K5:IN6/IN7;=SY+CH.FR0-DS10
622;=CT+CH.EP1-K6:IN0/IN1;=SY+CH.FR2-DS11
623;=CT+CH.EP1-K6:IN2/IN3;=SY+CH.FR2-DS12
624;=CT+CH.EP1-K6:IN4/IN5;=SY+CH.FR2-DS13
625;=CT+CH.EP1-K6:IN6/IN7;=SY+CH.FR2-DS14
626;=CT+CH.EP1-K7:IN0/IN1;=SY+CH.FR2-DS15
627;=CT+CH.EP1-K7:IN2/IN3;=SY+CH.FR2-DS16
628;=CT+CH.EP1-K7:IN4/IN5;=SY+CH.FR2-DS17
629;=CT+CH.EP1-K7:IN6/IN7;=SY+CH.FR2-DS18
630;=CT+CH.EP1-K8:IN0/IN1;=SY+CH.FR3-DS19
631;=CT+CH.EP1-K8:IN2/IN3;=SY+CH.FR3-DS20
632;=CT+CH.EP1-K8:IN4/IN5;=SY+CH.FR3-DS21
633;=CT+CH.EP1-K8:IN6/IN7;=SY+CH.FR3-DS22
634;=CT+CH.EP1-K9:IN0/IN1;=SY+CH.FR3-DS23
635;=CT+CH.EP1-K9:IN2/IN3;=SY+CH.FR3-KS1.X1
636;=CT+CH.EP1-K9:IN4/IN5;=SY+CH.FR3-KS2.X2
637;=CT+CH.EP1-K9:IN6/IN7;=SY+CH.FR3-KS3.X3
638;=CT+CH.EP1-T1:24V/DC_IN;=EP.CT+CH.E-X1
639;=CT+CH.EP1-T1:DATA_IN;=CT+CH.EP20-T1:X7
640;=SY.EMO+CH.EP2.1-K1:IN0/IN1;=SY+CH.FR0-PB1:X1
641;=SY.EMO+CH.EP2.1-K1:IN2/IN3;=SY+CH.FR0-PB2:X1
642;=SY.EMO+CH.EP2.1-K1:IN4/IN5;=SY+CH.FR0-PB3:X1
643;=SY.EMO+CH.EP2.1-K1:IN6/IN7;=SY+CH.FR2-PB4:X1
644;=SY.EMO+CH.EP2.1-K2:IN0/IN1;=SY+CH.FR2-PB5:X1
645;=SY.EMO+CH.EP2.1-K2:IN2/IN3;=SY+CH.FR3-PB6:X1
646;=SY.EMO+CH.EP2.1-K2:IN4/IN5;=SY+CH.FR3-PB7:X1
647;=SY.EMO+CH.EP2.1-K2:IN6/IN7;=SY+CH.FR1-PB8:X1
648;=SY.EMO+CH.EP2.1-K3:IN0/IN1;=SY+CH.FR1-PB9:X1
649;=SY.EMO+CH.EP2.1-T1:24V_IN;=EP.CT+CH.H-X2
650;=SY.EMO+CH.EP2.1-T1:Data_IN;=CT+CH.H-X1
651;=CH+CH.EP2.4-K9:OUT0/OUT1;=LF+BG.PA3-Y3:X1
652;=CT+CH.EP2.4-K1:IN0/IN1;=SY.BS+BG.SF12-B438:X1
653;=CT+CH.EP2.4-K1:IN2/IN3;=SY.BS+BG.SF12-B439:X1
654;=CT+CH.EP2.4-K1:IN4/IN5;=SY.BS+BG.SF12-B440:X1
655;=CT+CH.EP2.4-K1:IN6/IN7;=SY.BS+BG.SF12-B441:X1
656;=CT+CH.EP2.4-K10:OUT0/OUT1;=SY+BG.PA3-B271:X1
657;=CT+CH.EP2.4-K10:OUT2/OUT3;=CT.AC+BG.PA3-A202:X1
658;=CT+CH.EP2.4-K10:OUT4/OUT5;=CT.AC+BG.PA3-A204:X1
659;=CT+CH.EP2.4-K11:IN1;=SY+BG.PA3-B24
660;=CT+CH.EP2.4-K12:24V_OUT;=MD.PN+BG.PA3-T403:X0
661;=CT+CH.EP2.4-K12:Data_OUT;=MD.PN+BG.PA3-T403:In1
662;=CT+CH.EP2.4-K12:IN1;=LF.PM+BG.PA3-B1
663;=CT+CH.EP2.4-K12:IN2;=LF.PM+BG.PA3-B2
664;=CT+CH.EP2.4-K12:IN3;=LF.PM+BG.PA3-B3
665;=CT+CH.EP2.4-K2:IN0/IN1;=BS+BG.SF12-B442:X1
666;=CT+CH.EP2.4-K2:IN2/IN3;=BS+BG.SF12-B443:X1
667;=CT+CH.EP2.4-K2:IN4/IN5;=SY+BG.PA3-B300:X1
668;=CT+CH.EP2.4-K2:IN6/IN7;=SY+BG.PA3-B301:X1
669;=CT+CH.EP2.4-K3:IN0/IN1;=SY.BS+BG.PA3-B467:X1
670;=CT+CH.EP2.4-K3:IN2/IN3;=SY.BS+BG.PA3-B468:X1
671;=CT+CH.EP2.4-K3:IN4/IN5;=SY.BS+BG.PA3-B469:X1
672;=CT+CH.EP2.4-K3:IN6/IN7;=SY.BS+BG.PA3-B470:X1
673;=CT+CH.EP2.4-K4:IN0/IN1;=SY.BS+BG.PA3-B471:X1
674;=CT+CH.EP2.4-K4:IN2/IN3;=SY.BS+BG.PA3-B472:X1
675;=CT+CH.EP2.4-K4:IN4/IN5;=SY.BS+BG.PA3-B473:X1
676;=CT+CH.EP2.4-K4:IN6/IN7;=SY.BS+BG.PA3-B474:X1
677;=CT+CH.EP2.4-K5:IN0/IN1;=SY.BS+BG.PA3-B475:X1
678;=CT+CH.EP2.4-K5:IN2/IN3;=SY+CH.BG-CBA_PA3:X1
679;=CT+CH.EP2.4-K5:IN4/IN5;=SY+BG.PA3-B10:X1
680;=CT+CH.EP2.4-K5:IN6/IN7;=SY+BG.PA3-B11:X1
681;=CT+CH.EP2.4-K6:IN0/IN1;=SY.BS+BG.PA3-X1
682;=CT+CH.EP2.4-K6:IN2/IN3;=SY.BS+BG.PA3-X2
683;=CT+CH.EP2.4-K6:IN4/IN5;=SY.BS+BG.PA3-B482:X1
684;=CT+CH.EP2.4-K8:IN0;=BS.PUM+BG.PA3-B478:X1
685;=CT+CH.EP2.4-K8:IN1;=BS.PUM+BG.PA3-B479:X1
686;=CT+CH.EP2.4-K8:IN2;=BS.PUM+BG.PA3-B480:X1
687;=CT+CH.EP2.4-K8:IN3;=BS.PUM+BG.PA3-B481:X1
688;=CT+CH.EP2.4-K8:IN4;=SY+BG.PA3-B49:X1
689;=CT+CH.EP2.4-K8:IN5;=MD.WT+PA3.DO20-B2
690;=CT+CH.EP2.4-K8:IN6;=MD.WT+PA3.DO20-B1
691;=CT+CH.EP2.4-T1:24V_IN;=CT+CH.EP2-K2:24V_Out
692;=CT+CH.EP2.4-T1:DATA_IN;=CT+CH.EP2-T1:X5
693;=CT+CH.EP3.5-K6:IN6/IN7;=SY.BS+BG.PA3-B483:X1
694;=CT+CH.EP3.5-K7:IN0/IN1;=SY.BS+BG.PA3-B484:X1
695;=CT+CH.EP3.5-K7:IN2/IN3;=SY.BS+BG.PA3-B485:X1
696;=CT+CH.EP3.5-K7:IN4/IN5;=SY.BS+BG.PA3-B486:X1
697;=CT+CH.EP2.5-K1:IN0/IN1;=SY.BS+BG.PA2-B444:X1
698;=CT+CH.EP2.5-K1:IN2/IN3;=SY.BS+BG.PA2-B445:X1
699;=CT+CH.EP2.5-K1:IN4/IN5;=SY.BS+BG.PA2-B446:X1
700;=CT+CH.EP2.5-K1:IN6/IN7;=SY.BS+BG.PA2-B447:X1
701;=CT+CH.EP2.5-K2:IN0/IN1;=SY.BS+BG.PA2-B448:X1
702;=CT+CH.EP2.5-K2:IN2/IN3;=SY.BS+BG.PA2-B449:X1
703;=CT+CH.EP2.5-K2:IN4/IN5;=SY.BS+BG.PA2-B450:X1
704;=CT+CH.EP2.5-K2:IN6/IN7;=SY.BS+BG.PA2-B451:X1
705;=CT+CH.EP2.5-K3:IN0/IN1;=SY+BG.PA2-B8:X1
706;=CT+CH.EP2.5-K3:IN2/IN3;=SY.BS+BG.PA2-B452:X1
707;=CT+CH.EP2.5-K3:IN4/IN5;=SY+BG.PA2-B9:X1
708;=CT+CH.EP2.5-K3:IN6/IN7;=SY.BS+BG.PA2-X1
709;=CT+CH.EP2.5-K4:IN0/IN1;=SY.BS+BG.PA2-B460:X1
710;=CT+CH.EP2.5-K4:IN2/IN3;=SY.BS+BG.PA2-B461:X1
711;=CT+CH.EP2.5-K4:IN4/IN5;=SY.BS+BG.PA2-B462:X1
712;=CT+CH.EP2.5-K4:IN6/IN7;=SY.BS+BG.PA2-X2
713;=CT+CH.EP2.5-K5:IN0;=BS.MC+BG.PA2-B458:X1
714;=CT+CH.EP2.5-K5:IN1;=BS.MC+BG.PA2-B459:X1
715;=CT+CH.EP2.5-K5:IN2;=BS.PUM+BG.PA2-B456:X1
716;=CT+CH.EP2.5-K5:IN3;=BS.PUM+BG.PA2-B454:X1
717;=CT+CH.EP2.5-K5:IN4;=BS.PUM+BG.PA2-B455:X1
718;=CT+CH.EP2.5-K5:IN5;=BS.PUM+BG.PA2-B457:X1
719;=CT+CH.EP2.5-K6:IN0;=BS.AL+BG.PA2-B463:X1
720;=CT+CH.EP2.5-K6:IN1;=BS.AL+BG.PA2-B464:X1
721;=CT+CH.EP2.5-K6:IN2;=BS.MC+BG.PA2-B465:X1
722;=CT+CH.EP2.5-K6:IN3;=BS.MC+BG.PA2-B466:X1
723;=CT+CH.EP2.5-K7:IN1;=SY+BG.PA2-B22
724;=CT+CH.EP2.5-K7:IN2;=SY+BG.PA2-B23
725;=CT+CH.EP2.5-K8:24V_OUT;=MD.PN+BG.PA2-T402:X0
726;=CT+CH.EP2.5-K8:Data_OUT;=MD.PN+BG.PA2-T402:In1
727;=CT+CH.EP2.5-K8:IN1;=LF.PM+BG.PA2-B1
728;=CT+CH.EP2.5-T1:24V_IN;=EP.CT+CH.H-X3
729;=CT+CH.EP2.5-T1:DATA_IN;=CT+CH.EP2-T1:X6
730;=CT+CH.EP2-K1:IN0;=MD.GA+CH.RP10-B1
731;=CT+CH.EP2-K1:IN1;=MD.GA+CH.M-B1
732;=CT+CH.EP2-K1:IN2;=MD.PN+CH.RP02-B490
733;=CT+CH.EP2-K10;=EP+CH.H-X5
734;=CT+CH.EP2-K10:1;=LF.PM+BG.PA0-T200:X2
735;=CT+CH.EP2-K10:2;=LF.PM+BG.PA0-T202:X2
736;=CT+CH.EP2-K10:3;=LF.PM+BG.PA0-T204:X2
737;=CT+CH.EP2-K10:4;=LF.PM+BG.PA0-T206:X2
738;=CT+CH.EP2-K11:1;=LF.PM+BG.PA0-T208:X2
739;=CT+CH.EP2-K2:24V_Out;=CT+CH.EP2.4-T1:24V_IN
740;=CT+CH.EP2-K2:OUT0/OUT1;=CO+CH.PA0-X1
741;=CT+CH.EP2-K2:OUT2/OUT3;=CO+CH.PA1-X1
742;=CT+CH.EP2-K2:OUT4/OUT5;=CO+CH.PA2-X1
743;=CT+CH.EP2-K2:OUT6/OUT7;=CO+CH.PA3-X1
744;=CT+CH.EP2-T1:24V_IN;=EP.CT+CH.H-X4
745;=CT+CH.EP2-T1:X1;=CT+CH.EP3-T1:X7
746;=CT+CH.EP2-T1:X3;=PA3+30-A9:DATA_IN
747;=CT+CH.EP2-T1:X4;=PA2+30-A9:DATA_IN
748;=CT+CH.EP2-T1:X5;=CT+CH.EP2.4-T1:DATA_IN
749;=CT+CH.EP2-T1:X6;=CT+CH.EP2.5-T1:DATA_IN
750;=CT+CH.EP3.4-K1:24V_IN;=CT+CH.EP3.5-K9:24V/DC_OUT
751;=CT+CH.EP3.4-K1:DATA_IN;=CT+CH.EP3.5-K9:DATA_OUT
